Statement,Link,Date
"GMA Network, ‘di inasahan ang tuluyang pagkalas ng TVJ sa TAPE Inc",https://balita.mb.com.ph/2023/05/31/gma-network-di-inasahan-ang-tuluyang-pagkalas-ng-tvj-sa-tape-inc/,"May 31,  2023"
"Mga may-ari ng nawasak na bahay sa bagyong Betty sa Ilocos, Cagayan inayudahan na!",https://balita.mb.com.ph/2023/05/31/mga-may-ari-ng-nawasak-na-bahay-sa-bagyong-betty-sa-ilocos-cagayan-inayudahan-na/,"May 31,  2023"
"'Betty', inaasahang lalabas ng PAR ngayong Huwebes ng gabi -- PAGASA",https://balita.mb.com.ph/2023/05/31/betty-inaasahang-lalabas-ng-par-ngayong-huwebes-ng-gabi-pagasa/,"May 31,  2023"
"BI, nagbabala vs call center job scam sa Myanmar, Thailand",https://balita.mb.com.ph/2023/05/31/bi-nagbabala-vs-call-center-job-scam-sa-myanmar-thailand/,"May 31,  2023"
Sandro Marcos sa kaarawan ni VP Duterte: ‘We are blessed to have a leader like you’,https://balita.mb.com.ph/2023/05/31/sandro-marcos-sa-kaarawan-ni-vp-duterte-we-are-blessed-to-have-a-leader-like-you/,"May 31,  2023"
"8-anyos batang babae, natagpuang patay, hubo't hubad, nakabusal ang bibig sa Lucena City",https://balita.mb.com.ph/2023/05/31/8-anyos-batang-babae-natagpuang-patay-hubot-hubad-nakabusal-ang-bibig-sa-lucena-city/,"May 31,  2023"
Mark Villar: Bersiyon ng Senado sa Maharlika Investment Fund Bill aprubado na sa Ikatlong Pagbasa,https://balita.mb.com.ph/2023/05/31/mark-villar-bersiyon-ng-senado-sa-maharlika-investment-fund-bill-aprubado-na-sa-ikatlong-pagbasa/,"May 31,  2023"
"Lacuna: ""Kapitan Ligtas"", health super hero ng Maynila",https://balita.mb.com.ph/2023/05/31/lacuna-kapitan-ligtas-health-super-hero-ng-maynila/,"May 31,  2023"
"4 suspek, arestado sa umano'y iligal na pagbebenta ng Gcash accounts",https://balita.mb.com.ph/2023/05/31/4-suspek-arestado-sa-umanoy-iligal-na-pagbebenta-ng-gcash-accounts/,"May 31,  2023"
"Maine Mendoza, emosyunal: 'Hanggang sa muli, dabarkads'",https://balita.mb.com.ph/2023/05/31/maine-mendoza-emosyunal-hanggang-sa-muli-dabarkads/,"May 31,  2023"
"Joey de Leon sa pagkalas sa TAPE, INC: 'We're not signing off. We are just taking a day off!'",https://balita.mb.com.ph/2023/05/31/joey-de-leon-sa-pagkalas-sa-tape-inc-were-not-signing-off-we-are-just-taking-a-day-off/,"June 02,  2023"
"Pension funds, 'di gagamitin sa Maharlika Investment Fund -- Marcos",https://balita.mb.com.ph/2023/05/31/pension-funds-di-gagamitin-sa-maharlika-investment-fund-marcos/,"May 31,  2023"
"Sunog sa Mandaluyong, isa, patay",https://balita.mb.com.ph/2023/05/31/sunog-sa-mandaluyong-isa-patay/,"May 31,  2023"
"'What's next?' TVJ emosyunal na nagpaalam, kumalas na sa TAPE, Inc.",https://balita.mb.com.ph/2023/05/31/whats-next-tvj-emosyunal-na-nagpaalam-kumalas-na-sa-tape-inc/,"May 31,  2023"
"Bagyong Betty: Batanes, nasa Signal No. 2 pa rin--3 pang lugar, apektado",https://balita.mb.com.ph/2023/05/31/bagyong-betty-batanes-nasa-signal-no-2-pa-rin-3-pang-lugar-apektado/,"May 31,  2023"
"'Wala raw respeto?' Ogie Diaz kinukuwestyon bakit inispluk break-up nina Liza, Enrique",https://balita.mb.com.ph/2023/05/31/wala-raw-respeto-ogie-diaz-kinukuwestyon-bakit-inispluk-break-up-nina-liza-enrique/,"May 31,  2023"
"Tatay na nagbebenta ng brownies para sa premature baby, kinaantigan",https://balita.mb.com.ph/2023/05/31/tatay-na-nagbebenta-ng-brownies-para-sa-premature-baby-kinaantigan/,"May 31,  2023"
"DOTr, nagtalaga ng bagong officer-in-charge ng LTO",https://balita.mb.com.ph/2023/05/31/dotr-nagtalaga-ng-bagong-officer-in-charge-ng-lto/,"May 31,  2023"
"MRT-3, magpapatakbo na ng 4-car trains",https://balita.mb.com.ph/2023/05/31/mrt-3-magpapatakbo-na-ng-4-car-trains/,"May 31,  2023"
"Trina Candaza napa-hugot kay LJ Reyes: 'One day, this pain will be my testimony'",https://balita.mb.com.ph/2023/05/31/trina-candaza-napa-hugot-kay-lj-reyes-one-day-this-pain-will-be-my-testimony/,"May 31,  2023"
"Pilipinas, 9 pang bansa sumali sa counter-terrorism exercises sa Cebu",https://balita.mb.com.ph/2023/05/31/pilipinas-9-pang-bansa-sumali-sa-counter-terrorism-exercises-sa-cebu/,"May 31,  2023"
"Noong una 'no comment' pa: Paolo Contis, masaya para kay LJ Reyes",https://balita.mb.com.ph/2023/05/31/noong-una-no-comment-pa-paolo-contis-masaya-para-kay-lj-reyes/,"May 31,  2023"
